Event_Name,Event_Type,Department,Year,Overall_Rating,Feedback
Tech Workshop on AI,Workshop,CSE,3,5,"The session was very informative and the speaker explained concepts clearly."
Tech Workshop on AI,Workshop,IT,2,4,"Good workshop but could include more practical examples."
Tech Workshop on AI,Workshop,EC,4,3,"Content was average and some topics were rushed."
Cultural Fest 2024,Cultural,ME,1,5,"The event was very enjoyable and well organized."
Cultural Fest 2024,Cultural,CE,2,4,"Great performances but seating arrangements could be improved."
Cultural Fest 2024,Cultural,CSE,3,2,"Poor sound system affected the experience."
Data Science Seminar,Seminar,CSE,4,5,"The speaker was excellent and covered real-world applications."
Data Science Seminar,Seminar,IT,3,4,"Good insights but the session felt a bit long."
Data Science Seminar,Seminar,ME,2,3,"Average seminar, expected more technical depth."
Entrepreneurship Talk,Seminar,CE,4,4,"Motivational and inspiring session."
Entrepreneurship Talk,Seminar,EC,3,3,"Talk was okay but lacked practical guidance."
Entrepreneurship Talk,Seminar,CSE,2,2,"The session was boring and poorly structured."
Robotics Workshop,Workshop,ME,3,5,"Hands-on activities were excellent and engaging."
Robotics Workshop,Workshop,EC,2,4,"Good learning experience but limited equipment."
Robotics Workshop,Workshop,CSE,4,3,"Workshop was informative but too fast paced."
Annual Sports Meet,Sports,IT,1,5,"Very energetic event and well managed."
Annual Sports Meet,Sports,CE,2,4,"Enjoyed the games but scheduling could be better."
Annual Sports Meet,Sports,ME,3,2,"Poor coordination and lack of proper facilities."
Cyber Security Webinar,Webinar,CSE,4,5,"Excellent content and very relevant topics."
Cyber Security Webinar,Webinar,IT,3,4,"Good session but internet connectivity issues occurred."
Cyber Security Webinar,Webinar,EC,2,3,"Session was average and not very interactive."
